ROW_ID,V1T27_1921,PR,CD_NO,CSD_NO,PR_CD_CSD,CSD_TYPE,POP_TOT_1921,Founded,Founded_context,Incorporated,Incorporated_context,Railway_arrives,Railway_lines,First_post_office,Post_office_context,First_church,First_church_context,First_school,First_school_context,Residential_school,Medical,Medical_context,Justice_system,Justice_system_context,First_cemetery,Cemeteries_context,First_newspaper,Newspapers,Colonization_companies,Colonization_companies_context,Land_office_established,Digital_local_history_source
3884,SK176025,SK,176,25,Indian Head,T,1439,1882.0,,1902.0,,1882.0,CPR (first),1882,1882 - First postmaster appointed; 1906 - First post office constructed.,1882.0,1882 - St. Andrew's Presbyterian Church; 1895 - St. John's Anglican Church,1887.0,1885 - First classes held; 1887 - First school house built.,,1900.0,1900 - (Date unclear but likely) Crawford Maternity Hospital; 1905 - Lady Minto Hospital,1885.0,1885 - NWMP + militia presence in the area associated with the North West Resistance,1883.0,"1883 - The Indian Head Cemetery was established, but moved due to flooding in 1896.",1900.0,"1900 - The Vidette; 1917 - The Indian Head News and The Indian Head - Wolsley News (all papers likely originate before these dates, but these were the first records of them I could find)",1884.0,"1884 - Qu’Appelle Valley Farming Company, especially important in establishing the notable Bell Farm.",,https://digitalcollections.ucalgary.ca/archive/Indian-Head---history-of-Indian-Head-and-district-2R3BF1FSTWNUV.html
3831,SK175028,SK,175,28,Wapella,T,401,1882.0,,,,1882.0,CPR,1882,1882 - First post office established.,1887.0,1887 - Christ Anglican Church; 1892 - Wapella Methodist Church; 1897 - Unnamed Presbyterian church; ,1896.0,1896 - First dated schoolhouse built.,,1915.0,Between 1899-1915 - Earliest mentioned doctor is Dr. McDonald.,1890.0,1890 - NWMP Division B active in Wapella.,1884.0,1884 - Establishment of St. Paul's Cemetery,1903.0,1903 - Earliest mention of The Wapella Post but may have been established earlier.,1901.0,1901 - Jewish Colonization Association was key in establishing the Wapella Jewish Farm Settlement.,,
3832,SK175029,SK,175,29,Whitewood,T,499,1882.0,1882 - Serious settlement was happening in the area and CPR had established a line there.,1892.0,"1892 was the date of incorporation as a town, not a village. Cannot find a date for village.",1882.0,CPR,1883,1883 - First postmaster appointed.,1885.0,1885 - St Mary The Virgin Anglican Church; 1885 - Knox Presbyterian Church; 1889 - St. Joseph's Roman Catholic Church; 1893 - Unnamed Methodist church,1886.0,1886 - First schoolhouse in Whitewood School District #57.,,1910.0,1910 - First cottage hospital in Whitewood. A standalone hospital would not be established until 1959. No dates for doctors given.,1885.0,"1885 - NWMP detachment as part of ""B"" division established.",1893.0,"Whitewood's old cemetery may be as old as 1882, but records are very unclear. First established date is 1893.",1892.0,1892 - The Whitewood Herald,1883.0,1883 - York Colonization Company,,
3640,SK171021,SK,171,21,Alameda,T,208,1882.0,Original townsite was moved to meet the railway in 1892.,1898.0,,1892.0,CPR,1883,1883 - First postmaster appointed.,1884.0,"1884 - Unnamed Presbyterian church (1902 for Presbyterian church on current townsite); 1885 - Unnamed union church (Presbyterian, Methodist, Anglican); 1907 - Unnamed Methodist church; 1913 - St. Pancras Anglican Church. Note - timeline of these churches is a bit unclear, so apologies for possible errors.",1909.0,"""Early 1900s"" - first school in Alameda opened; 1909 - Earliest confirmed date for the building of a school in Alameda.",,1906.0,Prior to 1906 - First doctor in Alameda was a woman (M. E. Allan).,1886.0,1886 - NWMP detachment opened at old Alameda townsite.,1886.0,1886 - Earliest burial at old Alameda townsite; 1905 - Alameda Cemetery established.,1901.0,1901 - The Alameda Dispatch,,,1897.0,
3881,SK176022,SK,176,22,Regina,C,34432,1882.0,,1903.0,,1882.0,"CPR (first), QLSRSC, GTPR, CNoR",1883,1883 - First postmaser appointed.,1883.0,1883 - St. Paul's Cathedral (Anglican),1883.0,1883 in a private home,1890-1910 The Regina Industrial School,1889.0,1889 - first hospital in a house,1881.0,1881 - NWMP headquarters,1883.0,1883 - Regina Cemetery; 1953 - Riverside Memorial Park Cemetery,1883.0,1883 - The Regina Leader; 1916 - The Regina Daily Post,1883.0,1883 - Canada North West Land Company (land sales to CPR),1883.0,
3952,SK177024,SK,177,24,Moosejaw,C,19285,1882.0,,1903.0,,1882.0,"CPR (first), GTPR, CNoR",1883,1883 - First postmaster appointed.,1883.0,1883 - St Paul's (Presbyterian) OR an unnamed Methodist church in the same year,1886.0,"1886 - Classes first taught in Mr. W.R. Campbell's building, but 1890 was the first school house.",,1906.0,1906 - Moose Jaw General Hospital,1882.0,1882 - NWMP officers stationed in Moose Jaw; 1884 - First town constable appointed.,1889.0,"1889 or 1893 - The Moose Jaw Cemetery; 1912 - Rosedale Cemetery (earliest files date to 1912, can't find construction date) ",1889.0,1889 - Moose Jaw Times-Herald,1910.0,1910 - The Ottawa Land Company (possibly? They were based in Moose Jaw but I can't find their impact on the area),1907.0,
3898,SK176039,SK,176,39,Craven,VL,112,1882.0,"Originally called Sussex, later renamed to Craven.",1905.0,,1887.0,"QLSRSC, CPR",1884,1884 - First post office opened.,1890.0,1890 - St. John the Evangelist Anglican Church,1906.0,1906 - Craven School District was established (no dates for first school).,,,,,,1889.0,1889 - Earliest burial in Forest Lawn Cemetery.,,,,,,https://digitalcollections.ucalgary.ca/asset-management/2R3BF1OD7J052
4131,SK181020,SK,181,20,Saskatoon,C,25739,1882.0,1882 - Founding of Temperance Colony; 1903 - town charter of Saskatoon,1906.0,,1889.0,"QLSRSC (first), CPR, GTPR, CNoR",1884,1884 (first Temperance); 1900 (first Saskatoon),1892.0,1892 - Grace Methodist Church (now Grace-Westminster United Church),1888.0,1888 - Victoria School,,1885.0,1885 - The Marr Residence field hospital; 1907 - St. Paul's Hospital,1887.0,1887 - NWMP barracks,1884.0,1884 - Nutana Cemetery; 1905 - Woodlawn Cemetery,1884.0,1884 - The Saskatoon Sentinel; 1902 The Saskatoon Phoenix (now StarPhoenix),1882.0,1882 - Temperance Colonization Society; 1902 - Saskatchewan Land Valley Company,1910.0,
4048,SK179020,SK,179,20,Yorkton,T,5151,1882.0,"1882 - The settlement that would become Yorkton is founded. 1884 - the post office is called ""Yorkton"", the first time the name is used.",1928.0,,1889.0,"M&NW (first), GTPR, CNoR",1884,1884 - Post office opened,1893.0,1893 - Orkney Presbyterian Church; 1901 - St Paul's Methodist (now Lutheran) built in what is now Yorkton,1889.0,1889 - Cottage school on the original York Colony site; 1891 - Argyle School opened in what is now Yorkton,,1902.0,1902 - Queen Victoria Cottage Hospital and Moosomin Hospital both open that year,1890.0,1890 - NWMP detachment opened in relocated site of Yorkton,1896.0,1896 - The City of Yorkton Cemetery,1892.0,1892 - The Messenger (only published that year); 1896 - The Yorkton Enterprise; ,1882.0,1882 - The York Farmers' Colonization Company; ,1897.0,
3645,SK171026,SK,171,26,Oxbow,T,602,1882.0,,1904.0,,1892.0,CPR,1892,1892 - First postmaster appointed and first post office built.,1894.0,"1894 - Unnamed Presbyterian church; 1902 - All Saints Anglican Church; 1904 - Arthur Church (denomination unclear, also unsure if it's actually in Oxbow); 1909 - St Joseph's Roman Catholic Chuch; 1920 - St Peter Evangelical Lutheran Church ",1892.0,1892 - First school in Oxbow built.,,1927.0,1927 - Oxbow Community Hospital comes into existence after a long history of cottage hospitals (first one 1905) and nursing homes (first one 1910).,1884.0,1884 - NWMP officers were stationed near Oxbow; 1904 - the first town policeman was appointed after incorporation as a town.,1902.0,"1902 - First registered cemetery, but earliest burial in the area for settlers was 1888.",1903.0,1903 - The Oxbow Herald,,,,https://digitalcollections.ucalgary.ca/asset-management/2R3BF1F0GWEOL
4093,SK180023,SK,180,23,Foam Lake,VL,451,1882.0,,1908.0,,1905.0,CNoR,1900,1900 - First postmaster appointed.,1910.0,1907 - Foam Lake Methodist Church; 1910 - Foam Lake Anglican Church,1908.0,1908 - First school in Adamson School District #1885.,,1912.0,"Dr. W. E. Somers mentioned in 1912, but unsure if he's a medical doctor for Foam Lake or if he arrived prior to this date.",,"1912 - RNWMP constable stationed in nearby Sheho, no mention of station in Foam Lake.",1914.0,"Cemetery existed by 1914, but can't find establishing date or earliest burial.",1917.0,1917 - The Foam Lake Chronicle (existed by 1917 but can't find establishing date).,,,,
3978,SK177050,SK,177,50,Waldeck,VL,140,1882.0,"First townsite of Waldeck established in 1882, but was moved in 1904.",1913.0,,1882.0,CPR,1906,1906 - First postmaster appointed.,1907.0,1907 - Waldeck Methodist Church; 1912 - St. Catherine's Anglican Church,1909.0,1909 - First school in Waldeck opened.,,,,,,1908.0,1908 - Earliest burial in Waldeck Cemetery.,,,,,,
3791,SK174026,SK,174,26,Maple Creek,T,1002,1883.0,1883 - A CPR construction crew winters at the site that is now Maple Creek.,1896.0,,1883.0,CPR - date is unclear but likely,1882,1883 - First postmaser appointed.,1886.0,1886 - A small Methodist church; 1893 - A stone Presbyterian church ,1887.0,1887 - The first log school opened,,1908.0,1908 - First non-cottage hospital built.,1883.0,1883 - NWMP detachment “A” Division moved barracks near Maple Creek,1888.0,1888 - earliest burial at Maple Creek Community Cemetery,1902.0,1902 - The Maple Creek Signal; 1903 - The Ranching News (renamed The Maple Creek News in 1910),,,1913.0,https://digitalcollections.ucalgary.ca/asset-management/2R3408TYH48E
3826,SK175023,SK,175,23,Grenfell,T,765,1883.0,,1894.0,,1882.0,CPR,1883,1883 - First postmaster appointed.,1884.0,1884 - Unnamed Presbyterian Church; 1885 - St. Michael's and All Angels Anglican Church; 1890 - Unnamed Methodist church; 1895 - Unnamed Baptist church in a disused schoolhouse; 1903 - St. Columbkille Roman Catholic Church; 1905 - Peace Lutheran Church; ,1889.0,"1889 - Date unsure, but seems to be when the first school of Grenfell School District #150 was built.",,1946.0,1946 - Grenfell Union Hospital opened. The first cottage hospital opened in 1912.,1895.0,"1894? - Ben Hoy lists a NWMP depot in Grenfell in 1895. Also, ""A policeman was stationed in the village to keep order in the community."" - date unclear, could be any time prior to 1900.",1894.0,1894 - Earliest burial in Grenfell Cemetery.,1894.0,1894 - The Grenfell Sun,1882.0,1882 - Primitive Methodist Colonization Company was integral to establishing the nearby Primitive Methodist Colony at Pheasant Forks.,,https://digitalcollections.ucalgary.ca/archive/Grit-and-growth---the-story-of-Grenfell-2R3BF1O13Y2XM.html
4004,SK178025,SK,178,25,Swift Current,C,3518,1883.0,1883 - Founded by CPR,1903.0,,1882.0,CPR,1883,1883 - First postmaster appointed.,1913.0,"1913 - Knox Presbyterian Church (note: this feels too late, some records mention 1889 but I can't find reliable sources for them)",1904.0,"1904 - first purpose-built school, with previous schooling being done in a box car.",,1912.0,1912 - The Swift Current Hospital,1874.0,"1874 - As part of the March West, NWMP presence in Swift Current to ""prepare for railway expansion""",1883.0,1883 - Oldest burial in Old Mount Pleasant Cemetery,1904.0,1904 - The Swift Current Sun,,,,
4006,SK178027,SK,178,27,Gull Lake,T,788,1884.0,"Originally rooted in a large ranching operation called the 76, became a townsite closer to 1906.",1909.0,,1882.0,CPR,1889,1889 - First postmaster appointed and first post office built.,1907.0,"1907 - ""The first church"" was built, no name, no denomination, became Grace Methodist in 1910; 1907 - Knox Presbyterian Church; 1910 - St. Anne's Roman Catholic Church; 1912 - St John the Baptist Anglican Church; ",1906.0,1906 - The first one room school house was built.,,1917.0,1912 - First hospital was a private cottage hospital; 1929 - Gull Lake Union Hospital established.,1909.0,1909 - First RNWMP detachment established in Gull Lake.,1906.0,1906 - Establishment of Gull Lake Cemetery.,1909.0,1909 - The Gull Lake Advance,1887.0,"1887 - Canadian Agricultural, Coal and Colonization Company (CACC), also known as the 76.",,https://digitalcollections.ucalgary.ca/archive/Gull-Lake-memories---a-history-of-the-town-of-Gull-Lake-2R3BF1OOS2LX3.html
4336,SK185026,SK,185,26,Prince Albert,C,7558,1885.0,1862 - founding of Isbister Settlement; 1866 - founding of Presbyterian mission; 1885 - election of first mayor + incorporation,1885.0,,1890.0,"QLSRSC, CNoR, GTPR",1879,1879 - First postmaster appointed.,1872.0,"The Nisbet Church (Presbyterian) was first, but before the founding of PA.",1883.0,"1883 - Convent school, later moved to Duck Lake. 1887 - the first Central School.",1953-1997 The Prince Albert Residential School,1884.0,1884 - NWMP hospital is established. 1899 - Victoria Hospital established.,1878.0,1878 - small NWMP detachment in PA. 1888 - NWMP had their division headquarters in PA.,1866.0,"1866 - Nisbet Cemetery, only archaeological evidence; 1902 - First burial in South Hill Cemetery; 1905 - First burial in Old Catholic Cemetery",1882.0,1882 - The Prince Albert Times; 1886/7 - The Prince Albert Critic; 1892 - The Saskatchewan Times; 1894 - The Prince Albert Daily Herald,1883.0,1883 - Prince Albert Colonization Company,1881.0,
3840,SK175037,SK,175,37,Esterhazy,VL,420,1885.0,"1885 - Esterhazy began as the Esterház (also named Kaposvar) colony, which began settlement in 1885. Nearby Sumner Colony was also influential, and settlement there began in 1882.",1903.0,,1904.0,"CPR, GTPR",1903,"1903 - First postmaster for Esterhazy appointed, though Kaposvar had had a postmaster since 1891.",1904.0,1894 - Our Lady of Assumption Church at Kaposvar; 1904 - Esterhazy Methodist Church (also used by Presbyterians); 1906 - St. Mary's (or Our Lady of Victories) Catholic Church;  ,1905.0,1905 - First schoolhouse opened.,,1904.0,1904 - First doctor (R. J. Kee) arrived in Esterhazy.,1904.0,1904 - First permanent RNWMP detachment at Esterhazy established.,1903.0,1893 - Earliest recorded burial at Kaposvar (Our Lady of Assumption) Cemetery; 1903 - Earliest recorded burial at Esterhazy Cemetery,1907.0,1907 - The Esterhazy Observer; The Esterhazy Enterprise (undated and only published for a few months),,"""Count Esterhazy"" was instrumental in colonizing the area, but was not a company.",,
3912,SK176053,SK,176,53,Lebret,VL,274,1886.0,Settlement in the area began with the establisment of a chapel and rectory in 1886.,1912.0,,1911.0,"GTPR, CPR",1886,1886 - First postmaster appointed.,1866.0,1866 - Sacret Heart Mission;,1884.0,1884 - Lebret Indian School,1884-1998 - Lebret (Qu'appelle) Indian Residential School,,,,,1869.0,1869 - Earliest burial in Sacred Heart Roman Catholic Cemetery.,,,,,,
3643,SK171024,SK,171,24,Carnduff,T,494,1887.0,"Though settlement likely began earlier, 1887 was the establishment of the post office.",1897.0,,1892.0,CPR,1884,1884 - First postmaster appointed; 1886 - First post office opened.,1894.0,"1894 - St. Andrew's Presbyterian Church, also possibly Grace Methodist church too? Unclear; 1905 - St. James Anglican Church; 1907 - The Baptist Church; ",1892.0,1892 - First standalone school built.,,1920.0,No date given for the first doctor (Dr. Campbell). 1920 - a nursing home was built.,1895.0,1895 - A NWMP depot is established in Carnduff.,1888.0,1888 - Earliest burial in Carnduff Cemetery,1899.0,1899 - The Carnduff Gazette,1913.0,1913 - The Carnduff Land Company,,
3837,SK175034,SK,175,34,Churchbridge,VL,189,1887.0,"Originally settled as the Anglican Church Colonization Land Society's Colony, but the transition to the village of Churchbirdge is unclear.",1903.0,,1888.0,M&NWR,1889,1889 - First postmaster appointed.,1887.0,1887 - Unnamed Anglican church/school building; 1902 - Unnamed Anglican standalone church; 1916 - Peace Lutheran Church; 1921 - Churchbridge United Church,1902.0,"1902 - First standalone school built in Churchbridge, though a combination church/school building had existed since 1887/1888.",,1920.0,1920 - Early doctor (William Gordon McKenzie) in Churchbridge.,1911.0,1911 - Earliest mention of a village constable (A. Livingstone) in Churchbridge.,1887.0,1887 - Earliest burial in Churchbridge Cemetery,1908.0,1908 - Earliest date given for The Churchbridge Surprise,1880.0,1880 - English Colonization Land Co.,,https://digitalcollections.ucalgary.ca/asset-management/2R3BF1O22FEP4
3830,SK175027,SK,175,27,Saltcoats,T,479,1887.0,"Settlement took off in 1883, though they slowed considerably after the North West Resistance, then picked up again in 1887.",1894.0,"Was originally named Stirling, but due to repetition of the name, was renamed Saltcoats when the post office was established in 1893.",1888.0,M&NWR,1893,"1893 - Post office established in Saltcoats, though the earlier Stirling post office had a postmaster in 1888.",1890.0,1890 - Unnamed Presbyterian church; 1891 - Unnamed Anglican church; 1907 - Saltcoats Methodist Church;,1889.0,1889 - First schoolhouse opened.,,1889.0,1889 - First doctor (T.A. Patrick); 1897 - First cottage hospital.,1888.0,1888 - Saltcoats NWMP detachment is established.,1877.0,1877 - Earliest burial in Saltcoats Historical Cemetery,,"The Saltcoats Observer; The Saltcoats Star (in operation by the 1930s/40s, but establishing dates unavailable)",1906.0,1906 - The International Company,,
3825,SK175022,SK,175,22,Fleming,T,263,1888.0,,1907.0,"1907 was the year Fleming incorporated as a TOWN, not a village.",1882.0,CPR,1884,1884 - First postmaster appointed.,1893.0,1893 - Fleming Methodist Church; between 1890-1899 - Fleming Presbyterian Church; 1897 - St. Mark Anglican Church,1900.0,1886 or 1900 - unclear which date a school was first built.,,,Undated - Fleming's first doctor (Dr. Ellis). ,1894.0,1894 - NWMP depot in Fleming.,1882.0,1882 - Earliest burial in Fleming Cemetery.,,,,,,https://digitalcollections.ucalgary.ca/asset-management/2R3BF1OHN7XJF and https://digitalcollections.ucalgary.ca/asset-management/2R3BF1OWRUX9W
3847,SK175044,SK,175,44,Langenburg,VL,307,1888.0,"Settlement in the area took off in 1886, but the townsite was originally a colony called Hohenlohe and was established around 1888.",1903.0,,1888.0,M&NWR,1888,1888 - First postmaster appointed.,1903.0,1903 - St. Paul's Evangelical Lutheran Church; 1905 - St. Alban's Anglican Church; 1911 - Christ Lutheran Church; 1917 - St. Joseph's Roman Catholic Church;,1887.0,1887 - First school in Langenburg built.,,,"Langenburg's first resident doctor (Dr. Denmark) in ""the early 1900s"".",1887.0,1887 - A NWMP detachment was set up in Langenburg.,1886.0,1886 - Earliest burial in St. Paul's Lutheran Church Cemetery (Old); 1907 - Earliest burial in Christ Lutheran Church Cemetery,1930.0,Undated but likely established in the 1930s - The Langenburg Journal,,,,
3641,SK171022,SK,171,22,Arcola,T,605,1889.0,"1889 - Date the post office was established, though settlers had been in the area throughout the 1880s.",1901.0,,1901.0,CPR,1889,1889 - First postmaster appointed. 1901 - First post office built.,1894.0,1894 - Unnamed Presbyterian church built; 1902 - Unnamed Methodist church; 1906 - St. George's Anglican church; 1911 - Unnamed Lutheran church,1900.0,1900 - First schoolhouse built.,,1927.0,1927 - Brock Union Hospital was built.,1904.0,1904 - First town constable appointed. 1905 - NWMP depot recorded in Arcola.,1903.0,"1903 - Arcola and RM No. 64 Cemetery. Local oral history suggests 1903 as a founding date, but first recorded burial was in 1908.",1901.0,1901 - The Moose Mountain Star; 1907-1908 - The Arcola Times.,,,,https://digitalcollections.ucalgary.ca/asset-management/2R3BF1FH3BAPZ
3653,SK171034,SK,171,34,Glen Ewen,VL,138,1889.0,,1904.0,,1892.0,CPR,1890,1890 - First postmaster appointed.,1900.0,1900 - St. Angus Presbyterian Church; 1910 - Holy Trinity Anglican Church,1908.0,1908 - First school built in Glen Ewen.,,1906.0,1906 - Early doctors (H. H. Galloway and Dr. Tripp) in Glen Ewen.,1920.0,1920 - RCMP depot in Glen Ewen.,1915.0,1915 - Glen Ewen Cemetery established.,,,,,,
